"ST","lat","lon","year","month","TMEAN","RAIN"
1,14.70224,-91.84765,2007,4,25.3260377358491,65.9
1,14.70224,-91.84765,2007,5,25.1838709677419,578
1,14.70224,-91.84765,2007,6,24.8011797362942,628.4
1,14.70224,-91.84765,2007,7,24.4715725806452,338.5
1,14.70224,-91.84765,2007,8,24.1987903225806,728.2
1,14.70224,-91.84765,2007,9,23.7979861111111,725.9
1,14.70224,-91.84765,2007,10,23.3042981867025,726.1
1,14.70224,-91.84765,2007,11,24.6241498959056,36.6
1,14.70224,-91.84765,2007,12,23.9454667562122,21.1
1,14.70224,-91.84765,2008,1,24.0115591397849,9.1
1,14.70224,-91.84765,2008,2,23.9349137931034,98.9
1,14.70224,-91.84765,2008,3,24.548252688172,176
1,14.70224,-91.84765,2008,4,25.044375,384.2
1,14.70224,-91.84765,2008,5,25.1475486903962,267.5
1,14.70224,-91.84765,2008,6,24.2075650118203,300.9
1,14.70224,-91.84765,2008,7,24.0466292134831,575.7
1,14.70224,-91.84765,2008,8,23.9298858294157,670.5
1,14.70224,-91.84765,2008,9,23.9922222222222,641.6
1,14.70224,-91.84765,2008,10,23.8398521505376,382.4
1,14.70224,-91.84765,2008,11,24.2223776223776,51.1
1,14.70224,-91.84765,2008,12,23.9440188172043,31.2
1,14.70224,-91.84765,2009,1,23.8498992612492,25.8
1,14.70224,-91.84765,2009,2,24.2837938760269,8.5
1,14.70224,-91.84765,2009,3,0.0319634703196347,32.1
1,14.70224,-91.84765,2009,4,6.5437717466945,32.2
1,14.70224,-91.84765,2009,5,24.7577284946237,585.8
1,14.70224,-91.84765,2009,6,24.2600971547536,566.6
1,14.70224,-91.84765,2009,7,25.0559139784946,485.1
1,14.70224,-91.84765,2009,8,24.7317204301075,461.2
1,14.70224,-91.84765,2009,9,24.8852185981957,317.2
1,14.70224,-91.84765,2009,10,24.4001344086021,1063.9
1,14.70224,-91.84765,2009,11,24.3000693962526,142.9
1,14.70224,-91.84765,2009,12,24.172311827957,41.7
1,14.70224,-91.84765,2010,1,24.1384408602151,5.7
1,14.70224,-91.84765,2010,2,25.4673605947955,13.7
1,14.70224,-91.84765,2010,3,25.9157258064516,104.5
1,14.70224,-91.84765,2010,4,26.1518055555556,321.9
1,14.70224,-91.84765,2010,5,25.4897246474144,678
1,14.70224,-91.84765,2010,6,24.4133333333333,820.1
1,14.70224,-91.84765,2010,7,24.2867607526882,433.4
1,14.70224,-91.84765,2010,8,24.1341840161182,687.2
1,14.70224,-91.84765,2010,9,23.1904233171409,892.2
1,14.70224,-91.84765,2010,10,24.2639112903226,266.5
1,14.70224,-91.84765,2010,11,23.6500346981263,99.4
1,14.70224,-91.84765,2010,12,22.7627688172043,102.2
1,14.70224,-91.84765,2011,1,23.9784459459459,1.3
1,14.70224,-91.84765,2011,2,23.8855018587361,135
1,14.70224,-91.84765,2011,3,23.8954301075269,122.7
1,14.70224,-91.84765,2011,4,24.5148611111111,350.3
1,14.70224,-91.84765,2011,5,24.9903962390866,789.1
1,14.70224,-91.84765,2011,6,24.8506726457399,31.8
1,14.70224,-91.84765,2011,7,24.0835164835165,411.7
1,14.70224,-91.84765,2011,8,24.1093351242445,1046.8
1,14.70224,-91.84765,2011,9,23.8690277777778,861
1,14.70224,-91.84765,2011,10,23.1443250503694,841.6
1,14.70224,-91.84765,2011,11,24.3121527777778,121.2
1,14.70224,-91.84765,2011,12,23.9887390424815,11.3
1,14.70224,-91.84765,2012,1,24.0498655913979,4.6
1,14.70224,-91.84765,2012,2,24.3898019075569,15.8
1,14.70224,-91.84765,2012,3,24.7396505376344,90.4
1,14.70224,-91.84765,2012,4,25.2811805555556,319.6
1,14.70224,-91.84765,2012,5,25.0115591397849,486.4
1,14.70224,-91.84765,2012,6,24.4334489937543,681.3
1,14.70224,-91.84765,2012,7,24.823185483871,289.9
1,14.70224,-91.84765,2012,8,24.4515456989247,509
1,14.70224,-91.84765,2012,9,24.1695138888889,567.1
1,14.70224,-91.84765,2012,10,23.5581395348837,135.7
1,14.70224,-91.84765,2012,11,24.0790825688073,35.4
1,14.70224,-91.84765,2012,12,23.9497311827957,53.4
1,14.70224,-91.84765,2013,1,24.2719111111111,30.9
1,14.70224,-91.84765,2013,2,25.3695167286245,0
1,14.70224,-91.84765,2013,3,25.160685483871,34.4
1,14.70224,-91.84765,2013,4,25.7270521056388,288.1
1,14.70224,-91.84765,2013,5,23.7256830601093,151.6
1,14.70224,-91.84765,2013,6,24.1913888888889,630.5
1,14.70224,-91.84765,2013,7,24.1530325443787,541.3
1,14.70224,-91.84765,2013,8,23.9893090909091,723.9
1,14.70224,-91.84765,2013,9,23.6924050632911,562.9
1,14.70224,-91.84765,2013,10,23.6519489247312,1345.6
1,14.70224,-91.84765,2013,11,24.0253472222222,182.7
1,14.70224,-91.84765,2013,12,24.1016129032258,193.3
1,14.70224,-91.84765,2014,1,23.9171370967742,0.8
1,14.70224,-91.84765,2014,2,24.0275031685678,20.9
1,14.70224,-91.84765,2014,3,24.9766801075269,85.8
1,14.70224,-91.84765,2014,4,25.4038194444444,234.8
1,14.70224,-91.84765,2014,5,24.6672715053763,709.5
1,14.70224,-91.84765,2014,6,24.4879861111111,544.3
1,14.70224,-91.84765,2014,7,25.4067921990585,273.2
1,14.70224,-91.84765,2014,8,24.4723790322581,423.8
1,14.70224,-91.84765,2014,9,23.8795281054823,782.6
1,14.70224,-91.84765,2014,10,23.642597577389,472.6
1,14.70224,-91.84765,2014,11,24.2631505898681,0.6
1,14.70224,-91.84765,2014,12,24.1067876344086,0
1,14.70224,-91.84765,2015,1,24.1716397849462,0
1,14.70224,-91.84765,2015,2,24.4221726190476,0
1,14.70224,-91.84765,2015,3,24.6913920645595,0
1,14.70224,-91.84765,2015,4,25.5899305555556,32.4
1,14.70224,-91.84765,2015,5,25.1608870967742,347.2
1,14.70224,-91.84765,2015,6,25.436641221374,318.3
1,14.70224,-91.84765,2015,7,24.9781586021505,34.3
1,14.70224,-91.84765,2015,8,25.1663306451613,385.7
1,14.70224,-91.84765,2015,9,24.3423611111111,821.1
1,14.70224,-91.84765,2015,10,24.4060483870968,527.1
1,14.70224,-91.84765,2015,11,24.4474305555556,401.2
