country	code_farm_new	Latitude	Longitude
Costa Rica	1	9.875792	-83.69902
Costa Rica	4	10.047976	-84.487854
Costa Rica	5	9.652345	-83.998619
Costa Rica	6	9.675664	-83.999687
Costa Rica	7	9.588335	-83.973579
Costa Rica	12	9.651897	-83.949036
Costa Rica	14	9.634586	-84.075096
Costa Rica	17	9.645034	-84.075014
Costa Rica	19	9.646171	-84.076325
Costa Rica	20	9.646985	-84.072784
Costa Rica	24	9.686762	-84.003281
Costa Rica	25	9.671555	-84.006577
Costa Rica	27	9.616205	-84.033852
Costa Rica	48	10.050349	-84.483368
Costa Rica	52	10.105118	-84.549881
Costa Rica	53	10.052607	-84.48584
Costa Rica	57	9.6574	-84.044899
Costa Rica	60	9.657594	-84.053223
Costa Rica	65	9.649669	-84.028313
Costa Rica	68	9.64509	-84.02565
Costa Rica	69	9.635877	-84.045097
Costa Rica	72	9.652055	-84.031784
Costa Rica	73	9.632505	-83.994576
Costa Rica	74	9.67835	-84.092491
Costa Rica	79	9.631253	-84.017082
Costa Rica	80	9.942493	-83.698112
Costa Rica	90	9.936088	-83.703807
Costa Rica	93	9.928663	-83.690582
Costa Rica	96	9.813071	-83.548378
Costa Rica	99	9.953026	-83.716972
Costa Rica	101	9.893616	-83.698402
Costa Rica	103	9.89185	-83.69294
Costa Rica	104	9.880946	-83.69068
Costa Rica	106	9.864442	-83.695656
Costa Rica	109	10.119031	-84.408447
Costa Rica	110	10.118362	-84.41794
Costa Rica	111	10.115514	-84.431412
Costa Rica	116	9.744246	-84.04718
Costa Rica	117	9.746654	-84.046074
Costa Rica	118	9.757588	-84.061699
Costa Rica	120	9.746758	-84.038292
Costa Rica	121	9.655537	-84.085945
Costa Rica	122	9.712597	-84.067589
Costa Rica	144	9.667747	-84.007813
Costa Rica	148	9.826452	-83.778259
Costa Rica	149	9.802123	-83.851477
Costa Rica	150	9.788906	-83.82811
Costa Rica	151	9.789868	-83.829504
Costa Rica	152	9.840907	-83.788821
Costa Rica	153	9.829063	-83.78524
Costa Rica	157	9.896694444	-83.70644444
Costa Rica	158	9.940497	-83.729024
Costa Rica	160	9.825055556	-83.51072222
Costa Rica	172	9.757214	-84.084663
Costa Rica	174	9.755705	-84.07682
Costa Rica	175	9.749997	-84.051361
Costa Rica	177	9.748543	-84.046211
Costa Rica	178	10.08858	-84.454948
Costa Rica	179	10.089983	-84.449188
Costa Rica	180	10.090363	-84.457504
Costa Rica	185	10.059091	-84.484529
Costa Rica	187	10.088465	-84.444519
Costa Rica	188	10.13923	-84.36256
Costa Rica	189	10.087492	-84.446354
Costa Rica	190	10.057585	-84.508003
Costa Rica	191	10.122217	-84.380837
Costa Rica	192	10.009376	-84.460586
Costa Rica	193	10.053841	-84.469231
Costa Rica	194	10.073291	-84.476714
Costa Rica	195	10.106458	-84.382576
Costa Rica	203	10.028916	-84.459335
Costa Rica	204	10.045794	-84.417803
Costa Rica	205	10.029433	-84.443504
Costa Rica	207	10.099444	-84.448506
Costa Rica	208	10.10072	-84.449554
Costa Rica	214	10.091628	-84.445328
