	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
CL0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
CP0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
CW0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
DVS0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCONC	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
FNCLMIN	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813	0.823460813
FSLAMIN	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
FTCLMIN	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557	0.502740557
KEXT	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156	0.481821156
KFLPAR	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
KNMIN	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191	0.065814191
KNUPT	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739	0.002515739
KRAININT	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694	0.182150694
KSINKPPAR	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207	0.562419207
NCLMAX	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012	0.039591012
NCP	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933	0.095823933
NCR	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991	0.055513991
NCW	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272	0.011867272
RAINdoyHI	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
RUBISC	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768	0.922339768
SINKL	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048	4.679311048
SINKPMAX	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345	31.92192345
SINKR	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529	17.61015529
SINKW	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592	3.418508592
SLAMAX	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
TBEFOREP	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
TCLMAX	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
TCR	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031	431.9074031
TMATB	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251	8.296066251
TMATT	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092	2891.03092
TRANCO	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443	6.349190443
YG	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834	0.699558834
BETA	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.7	0.7	0.7	0.7	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106	0.634261106
FNCLMINT	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.4	0.4	0.4	0.4	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391	0.334164391
GAMMA	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.5	0.5	0.5	0.5	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765	0.542694765
KEXTT	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.7	0.7	0.7	0.7	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114	0.463137114
KNMINT	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.005	0.005	0.005	0.005	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422	0.006057422
KNUPTT	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.002	0.002	0.002	0.002	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278	0.001415278
KRAININTT	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
NCPT	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
NCRT	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.035	0.035	0.035	0.035	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801	0.053900801
NCWT	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.01	0.01	0.01	0.01	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145	0.012772145
SHADEPROJ	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
SHADETARGET	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
TCPTHARV	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300
TDIFFMAX	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
TRANCOT	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	2	2	2	2	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448	3.785257448
WOODDENS	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400
CLITT0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CNLITT0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
