""	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s31"	"s32"
"CL0"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"CP0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CR0"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"CW0"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"DVS0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCONC"	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
"FNCLMIN"	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786	0.82346081300786
"FSLAMIN"	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
"FTCLMIN"	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353	0.502740557106353
"KEXT"	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409	0.481821155983409
"KFLPAR"	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
"KNMIN"	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272	0.0658141910460272
"KNUPT"	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602	0.00251573918394602
"KRAININT"	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537	0.182150693567537
"KSINKPPAR"	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443	0.562419207362443
"NCLMAX"	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196	0.0395910116029196
"NCP"	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718	0.0958239325381718
"NCR"	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528	0.0555139905604528
"NCW"	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965	0.0118672715153965
"RAINdoyHI"	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
"RUBISC"	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997	0.922339767502997
"SINKL"	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838	4.67931104758838
"SINKPMAX"	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599	31.9219234521599
"SINKR"	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927	17.61015528927
"SINKW"	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568	3.41850859189568
"SLAMAX"	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
"TBEFOREP"	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
"TCLMAX"	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
"TCR"	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218	431.907403062218
"TMATB"	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306	8.29606625144306
"TMATT"	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126	2891.03091975126
"TRANCO"	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345	6.34919044286345
"YG"	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912	0.699558834057912
"BETA"	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.7	0.7	0.7	0.7	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441	0.63426110627441
"FNCLMINT"	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.4	0.4	0.4	0.4	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205	0.334164390858205
"GAMMA"	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.5	0.5	0.5	0.5	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814	0.54269476479814
"KEXTT"	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.7	0.7	0.7	0.7	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044	0.463137114354044
