""	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s31"	"s32"
"CL0"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"CP0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CR0"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"CW0"	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
"DVS0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCONC"	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47	0.47
"FNCLMIN"	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935	0.595912578686935
"FSLAMIN"	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
"FTCLMIN"	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184	0.716281074101184
"KEXT"	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897	0.732322038414897
"KFLPAR"	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55
"KNMIN"	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328	0.0559961847780328
"KNUPT"	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528	0.00294379216722528
"KRAININT"	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878	0.233211375889878
"KSINKPPAR"	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511	0.354485501994511
"NCLMAX"	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039	0.059795510309039
"NCP"	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929	0.09318707967929
"NCR"	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037	0.0767962974340037
"NCW"	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007	0.0127278247291007
"RAINdoyHI"	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
"RUBISC"	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111	1.06998075785111
"SINKL"	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824	3.40238564736824
"SINKPMAX"	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276	43.8794882682276
"SINKR"	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887	11.9609016791887
"SINKW"	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683	4.66406215035683
"SLAMAX"	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
"TBEFOREP"	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500
"TCLMAX"	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650
"TCR"	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077	523.47530321077
"TMATB"	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238	10.8827139990238
"TMATT"	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961	2504.38853734961
"TRANCO"	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287	8.44201981043287
"YG"	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058	0.740981816364058
"BETA"	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.634261106	0.634261106	0.634261106	0.634261106	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051	0.637694451441051
"FNCLMINT"	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.334164391	0.334164391	0.334164391	0.334164391	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244	0.512487654013244
"GAMMA"	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.542694765	0.542694765	0.542694765	0.542694765	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941	0.70979253536941
"KEXTT"	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.463137114	0.463137114	0.463137114	0.463137114	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559	0.658574420770559
