"ST","lat","lon","year","month","TMIN","TMAX","RAIN"
"Orosi",9.78529,-83.84652,2010,1,14.1290322580645,24.5677419354839,65.54
"Orosi",9.78529,-83.84652,2010,2,16.5846153846154,25.3730769230769,1
"Orosi",9.78529,-83.84652,2010,3,16.6666666666667,26.3466666666667,96.18
"Orosi",9.78529,-83.84652,2010,4,16.7466666666667,26.75,171.22
"Orosi",9.78529,-83.84652,2010,5,17.2612903225806,26.9387096774194,384.85
"Orosi",9.78529,-83.84652,2010,6,16.72,26.8466666666667,407.24
"Orosi",9.78529,-83.84652,2010,7,16.4387096774194,25.9258064516129,390
"Orosi",9.78529,-83.84652,2010,8,16.6483870967742,26.0806451612903,429
"Orosi",9.78529,-83.84652,2010,9,16.152380952381,26.4761904761905,412.4
"Orosi",9.78529,-83.84652,2010,10,16.4354838709677,25.0322580645161,234.6
"Orosi",9.78529,-83.84652,2010,11,15.8633333333333,23.3166666666667,246.4
"Orosi",9.78529,-83.84652,2010,12,14.7354838709677,21.7193548387097,170.8
"Orosi",9.78529,-83.84652,2011,1,14.1193548387097,23.6677419354839,107
"Orosi",9.78529,-83.84652,2011,2,15.7571428571429,25.8,49.8
"Orosi",9.78529,-83.84652,2011,3,15.7903225806452,26.558064516129,22.8
"Orosi",9.78529,-83.84652,2011,4,16.7666666666667,27.7633333333333,20.4
"Orosi",9.78529,-83.84652,2011,5,18.0258064516129,28.1806451612903,203.8
"Orosi",9.78529,-83.84652,2011,6,18.57,28.01,403.2
"Orosi",9.78529,-83.84652,2011,7,18.0064516129032,27.158064516129,303.8
"Orosi",9.78529,-83.84652,2011,8,18.225,27.725,330
"Orosi",9.78529,-83.84652,2011,9,17.6766666666667,27.7233333333333,280.4
"Orosi",9.78529,-83.84652,2011,10,18.1225806451613,26.3354838709677,433.6
"Orosi",9.78529,-83.84652,2011,11,18.0428571428571,27.1,136.6
"Orosi",9.78529,-83.84652,2011,12,16.8193548387097,24.4870967741935,115.8
"Orosi",9.78529,-83.84652,2012,1,14.8096774193548,25.5741935483871,30.4
"Orosi",9.78529,-83.84652,2012,2,14.8137931034483,26.1137931034483,63.58
"Orosi",9.78529,-83.84652,2012,3,15.8290322580645,25.6516129032258,115.09
"Orosi",9.78529,-83.84652,2012,4,16.6433333333333,27.2,110.07
"Orosi",9.78529,-83.84652,2012,5,17.9677419354839,28.4677419354839,279.37
"Orosi",9.78529,-83.84652,2012,6,17.65,28.0366666666667,272.77
"Orosi",9.78529,-83.84652,2012,7,18.1193548387097,26.0612903225806,440.28
"Orosi",9.78529,-83.84652,2012,8,17.0161290322581,28.2741935483871,349.74
"Orosi",9.78529,-83.84652,2012,9,17.1333333333333,27.8866666666667,340.05
"Orosi",9.78529,-83.84652,2012,10,17.558064516129,27.3677419354839,277.81
"Orosi",9.78529,-83.84652,2012,11,17.6166666666667,24.9733333333333,210.33
"Orosi",9.78529,-83.84652,2012,12,16.8096774193548,25.8612903225806,60.52
"Orosi",9.78529,-83.84652,2013,1,15.5677419354839,26.7193548387097,15.28
"Orosi",9.78529,-83.84652,2013,2,14.6714285714286,27.2,22.65
"Orosi",9.78529,-83.84652,2013,3,16.4645161290323,26.6225806451613,56.27
"Orosi",9.78529,-83.84652,2013,4,17.2764705882353,27.6411764705882,41.8
"Orosi",9.78529,-83.84652,2013,5,15.5,26.9583333333333,129.34
"Orosi",9.78529,-83.84652,2013,6,16.2636363636364,25.9045454545455,334.22
"Orosi",9.78529,-83.84652,2013,7,16.136,25.592,208.09
"Orosi",9.78529,-83.84652,2013,8,19.2391304347826,28.3869565217391,108.2
"Orosi",9.78529,-83.84652,2013,9,16.0833333333333,26.4066666666667,424.69
"Orosi",9.78529,-83.84652,2013,10,15.9645161290323,25.7548387096774,365.27
"Orosi",9.78529,-83.84652,2013,11,15.5433333333333,25.0733333333333,245.67
"Orosi",9.78529,-83.84652,2013,12,13.8548387096774,25.0967741935484,38.61
"Orosi",9.78529,-83.84652,2014,1,14.0774193548387,24.2677419354839,37.32
"Orosi",9.78529,-83.84652,2014,2,13.3571428571429,25.2892857142857,15.11
"Orosi",9.78529,-83.84652,2014,3,NA,NA,44
